sample,min,q25,median,q75,max,mean,sd,mean_correlation,corr_z,outlier
GSM329788,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560758,0.1980325,0.8277172201107764,0.20270713624898132,False
GSM329789,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560832,0.19803245,0.822808065677464,-0.012055820356533443,False
GSM329790,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560814,0.19803236,0.8083758597746107,-0.6434279338520499,False
GSM329791,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560725,0.19803281,0.7830780269370061,-1.7501434486561211,False
GSM329792,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.285608,0.1980328,0.8241033648857148,0.04461020867792455,False
GSM329793,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560808,0.19803303,0.7679850874889566,-2.410420965642691,False
GSM329794,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560877,0.19803245,0.8248930957503908,0.07915891512511952,False
GSM329795,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560725,0.19803222,0.8328788496618158,0.42851523382305656,False
GSM329796,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560627,0.19803198,0.8279114149633451,0.21120266460559842,False
GSM329797,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856078,0.19803195,0.860451016450065,1.634727044819053,False
GSM329798,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560692,0.1980324,0.8452408096583164,0.9693193813300229,False
GSM329799,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560674,0.1980322,0.797630016990362,-1.1135310847945061,False
GSM329800,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856074,0.19803196,0.819452947889608,-0.15883364649094672,False
GSM329801,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560832,0.19803196,0.8352803212690079,0.533573477471906,False
GSM329802,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856071,0.19803198,0.8275080139318025,0.19355490073736326,False
GSM329803,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856078,0.1980327,0.8223790552763184,-0.030823928676642746,False
GSM329804,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560832,0.1980321,0.8077287622022268,-0.6717367983918129,False
GSM329805,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560698,0.19803219,0.8493859685040754,1.1506594840723285,False
GSM329806,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.2856083,0.1980324,0.8458383032561574,0.9954581987920391,False
GSM329807,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.28560826,0.19803269,0.8438701863943183,0.9093581174164108,False
GSM329808,0.0,0.12383829802274704,0.24956540763378143,0.415181040763855,0.9998090863227844,0.285608,0.1980323,0.8546520480095694,1.3810370001360235,False
