sample,hclust_cluster,kmeans_cluster,cluster_consensus
GSM329965,2,5,0.8460748195648193
GSM329966,2,5,0.830556333065033
GSM329967,2,5,0.8568368554115295
GSM329968,2,5,0.863358736038208
GSM329969,2,5,0.8602287173271179
GSM329970,2,5,0.8379884958267212
GSM329971,2,5,0.7936463356018066
GSM329972,2,5,0.8425823450088501
GSM329973,2,5,0.8472608327865601
GSM329974,2,5,0.7961955070495605
GSM329975,2,5,0.8536513447761536
GSM329976,2,5,0.869184672832489
GSM329977,2,4,0.7546600103378296
GSM329978,2,5,0.5647439360618591
GSM329979,2,5,0.8530261516571045
GSM329980,2,5,0.840711236000061
GSM329981,2,5,0.8376719951629639
GSM329982,2,5,0.845015287399292
GSM329983,2,5,0.8326963186264038
GSM329984,2,5,0.8405719995498657
GSM329985,2,5,0.8519947528839111
GSM329986,2,5,0.8480889797210693
GSM329987,2,5,0.8702272772789001
GSM329988,2,5,0.8459945321083069
GSM329989,2,5,0.44759243726730347
GSM329990,2,5,0.8279497027397156
GSM329991,2,5,0.870428204536438
GSM329992,2,5,0.8303301930427551
GSM329993,2,5,0.848228394985199
GSM329994,2,5,0.8490195274353027
GSM329995,2,5,0.8408153057098389
GSM329996,2,5,0.8271158337593079
GSM329997,2,5,0.8605818748474121
GSM329998,2,5,0.8393414616584778
GSM329999,2,5,0.5278117060661316
GSM330000,2,5,0.8508694171905518
GSM330001,2,5,0.7794181108474731
GSM330002,2,4,0.3208584785461426
GSM330003,2,1,0.4726603329181671
GSM330004,2,5,0.849226176738739
GSM330005,2,5,0.8511652946472168
GSM330006,2,5,0.8493490815162659
GSM330007,2,5,0.8444439768791199
GSM330008,2,5,0.8541890382766724
GSM330009,2,5,0.7999297380447388
GSM330010,3,3,0.9616868495941162
GSM330011,3,3,0.8591750860214233
GSM330012,3,3,0.9611395597457886
GSM330013,3,3,0.9604376554489136
GSM330014,3,3,0.9637757539749146
GSM330015,3,3,0.9637798070907593
GSM330016,3,3,0.9629417061805725
GSM330017,3,3,0.9653719663619995
GSM330018,3,3,0.963021457195282
GSM330019,3,3,0.9682262539863586
GSM330020,3,3,0.9619424343109131
GSM330021,3,3,0.9657164216041565
GSM330022,3,3,0.960507869720459
GSM330023,3,3,0.962554395198822
GSM330024,3,3,0.9627110362052917
GSM330025,3,3,0.9629934430122375
GSM330026,3,3,0.961851179599762
GSM330027,5,4,0.8821884393692017
GSM330028,3,3,0.9629620313644409
GSM330029,3,3,0.9607734680175781
GSM330030,3,3,0.9645015001296997
GSM330031,3,3,0.9643225073814392
GSM330032,3,3,0.9602584838867188
GSM330033,3,3,0.9614133834838867
GSM330034,3,3,0.9597791433334351
GSM330035,3,3,0.9622231125831604
GSM330036,3,3,0.9630640745162964
GSM330037,3,3,0.964026927947998
GSM330038,3,3,0.9615768790245056
GSM330039,3,3,0.9630683660507202
GSM330040,3,3,0.9640882015228271
GSM330041,3,3,0.9624749422073364
GSM330042,3,3,0.9666879773139954
GSM330043,3,3,0.9620144963264465
GSM330044,3,3,0.9612630009651184
GSM330045,3,3,0.9604521989822388
GSM330046,3,3,0.9640435576438904
GSM330047,3,3,0.9641016721725464
GSM330048,3,3,0.9626420140266418
GSM330049,3,3,0.963381290435791
GSM330050,3,3,0.9624119997024536
GSM330051,3,3,0.9648696780204773
GSM330052,3,3,0.9643456339836121
GSM330053,3,3,0.9558585286140442
GSM330054,3,3,0.9609270095825195
GSM330055,3,3,0.9623169898986816
GSM330056,3,3,0.9572672247886658
GSM330057,3,3,0.9606605768203735
GSM330058,3,3,0.9672721028327942
GSM330059,3,3,0.961762011051178
GSM330060,3,3,0.9649258852005005
GSM330061,3,3,0.9618594646453857
GSM330062,3,3,0.9625989198684692
GSM330063,3,3,0.9618943333625793
GSM330064,3,3,0.9644342660903931
GSM330065,3,3,0.9634425044059753
GSM330066,3,3,0.9596373438835144
GSM330067,3,3,0.9617575407028198
GSM330068,3,3,0.9640657305717468
GSM330069,3,3,0.9637451171875
GSM330070,3,3,0.9055577516555786
GSM330071,3,3,0.9618207812309265
GSM330072,3,3,0.9612591862678528
GSM330073,3,3,0.9656193256378174
GSM330074,3,3,0.9666846394538879
GSM330075,3,3,0.9622139930725098
GSM330076,3,3,0.9639317393302917
GSM330077,3,3,0.9618792533874512
GSM330078,3,3,0.9628282785415649
GSM330079,3,3,0.9612012505531311
GSM330080,3,3,0.9643391966819763
GSM330081,3,3,0.9633334875106812
GSM330082,3,4,0.3286765217781067
GSM330083,3,3,0.8422257304191589
GSM330084,3,3,0.9169803857803345
GSM330085,3,3,0.9632230997085571
GSM330086,3,3,0.9104098081588745
GSM330087,3,3,0.9595798254013062
GSM330088,3,3,0.9590736627578735
GSM330089,3,3,0.962695300579071
GSM330090,3,3,0.9663565754890442
GSM330091,3,3,0.9629840850830078
GSM330092,3,3,0.9622234106063843
GSM330093,3,3,0.9647878408432007
GSM330094,3,3,0.9665749073028564
GSM330095,3,3,0.9615429043769836
