sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,hclust_cluster,kmeans_cluster,cluster_consensus
GSM329728,-1.8394161495890997,33.58843302963275,6.95897725722059,2.2929128751567815,5.161348977077011,2.354251806707569,-3.5741360669929767,1.1964354265594488,-1.8940245947418952,-11.438253342289949,3,3,0.8695627450942993
GSM329729,20.924322738463722,21.259896100798265,-21.993353425044035,-5.238853324090751,17.27725449351742,3.9536891216002434,-5.579332130570247,4.279998090277293,-14.04358825699188,15.988886501589619,3,1,0.4063751995563507
GSM329730,-5.840211007745371,10.876000114775545,6.748021850996538,12.349993680806106,13.552976088455157,19.70905063075167,-6.5085713307255775,-15.731227644126866,2.5519367586650974,3.5702251257120317,3,3,0.7623258233070374
GSM329731,0.05488672710010733,18.910062333141994,18.464065123400115,13.152339017185021,12.337861614631729,-21.682463465107457,11.816165985090764,4.139291918253076,-11.28174965650239,10.756876403665826,3,3,0.9639543294906616
GSM329732,-18.171729383542928,40.87146200079507,1.264044216137701,1.7519691875189352,8.98704509062202,-1.2889093123731714,-5.722637731893423,5.47295550658118,-19.18187831870522,5.153639671566425,3,3,0.9587031602859496
GSM329733,-2.652991666287999,29.17647785462075,24.793375658272478,-1.5541446617213166,12.329747794372564,8.894413526047993,-1.7287754399644433,12.175789320291285,-9.089387321288257,5.276876243224547,3,3,0.962340235710144
GSM329734,-19.882733401314894,25.53510624532891,25.3197901658285,7.8651939054993445,8.926978489537053,-10.922771479980598,10.843771543879042,1.6085395142503576,-7.655339873163609,3.081976677229155,3,3,0.9662975668907166
GSM329735,-1.7061701603780397,23.766787982722235,-16.61843559940747,23.127300971332193,11.607353871552043,-25.745239167581154,15.858354977593429,8.488306592556603,-11.81162860549456,12.066069028751123,3,3,0.96404367685318
GSM329736,2.230590411742612,29.242769208567854,-12.870701644051529,5.414125038480474,11.03701577350776,-14.164785936622154,14.110189675674528,16.869996773314934,-10.618928278359657,11.440534638255981,3,3,0.9643051624298096
GSM329737,19.272219667344476,18.202374416571537,5.000304530736465,1.6210662430640987,3.4884024639919344,-10.080511460347314,-9.808902545737638,8.176693446506626,-5.007418556571555,-6.255010792959976,3,1,0.4945138096809387
GSM329738,-14.048578074423773,24.49678286761511,-30.086628540932313,12.267812222610244,10.97231800348361,-2.686695177605845,15.636641445811042,18.02722271682586,0.10035686665116612,9.179498427501782,3,3,0.9609830975532532
