gene,representative_probe,n_probes_for_gene,mean_expression
PDE1C,207303_at,6,0.2360308
PDE4D,204491_at,6,0.3750856
PPP2R5C,201877_s_at,6,0.6080708
ACER3,227776_at,6,0.46951544
ACRV1,207969_x_at,6,0.24789779
CD24,209771_x_at,6,0.73367864
PPP2R2C,228010_at,6,0.23147011
TBL1XR1,223013_at,6,0.696407
C2CD6,1554831_x_at,6,0.11685427
MAN1A2,217922_at,6,0.5866262
PGK1,200738_s_at,6,0.8030269
AFF3,227198_at,6,0.50895816
SGCD,214492_at,6,0.2038378
PCBP2,204031_s_at,6,0.82460636
PATZ1,209431_s_at,6,0.47262806
TMED5,202194_at,6,0.69401705
VSTM4,1553458_at,6,0.16313745
FRYL,212548_s_at,6,0.57666785
FHAD1,1563639_a_at,6,0.30708182
CD47,213857_s_at,6,0.7909835
ITPRIPL2,227792_at,6,0.35410684
TRIM8,223132_s_at,6,0.6397366
TRIOBP,216210_x_at,6,0.55444056
CNOT9,213179_at,6,0.5713118
HNRNPDL,201993_x_at,6,0.81022686
GATAD2A,234294_x_at,6,0.5598694
SLC6A8,213843_x_at,6,0.3463855
HNF4A,230772_at,6,0.20332898
C11orf58,201784_s_at,6,0.73565745
DDX3X,201210_at,6,0.80145264
BUB3,201457_x_at,6,0.70612
MACROH2A1,207168_s_at,6,0.8135173
BMP1,202701_at,6,0.30928102
OTUD7B,229488_at,6,0.2614855
VTI1A,242356_at,6,0.5522875
CLTA,200960_x_at,6,0.73252666
TMEM165,226825_s_at,6,0.54547393
HNMT,204112_s_at,6,0.2788321
VPS13A,214785_at,6,0.40831155
PATJ,223681_s_at,6,0.20482706
DENND1B,219696_at,6,0.48247007
SETDB2,235339_at,6,0.42973697
SLFN5,238430_x_at,6,0.5371264
MKLN1,225526_at,6,0.49473247
HNRNPM,1555844_s_at,6,0.79798985
VRK3,218022_at,6,0.5409029
HNRNPC,200014_s_at,6,0.7878362
PAPOLA,222035_s_at,6,0.73044646
SEZ6L,211894_x_at,6,0.1811716
GFM1,225153_at,6,0.57207406
PFKFB2,226733_at,6,0.3559714
TAPT1,227407_at,6,0.62283134
PDS5B,207956_x_at,6,0.5637232
C21orf58,1555198_x_at,6,0.24014072
TAOK1,224769_at,6,0.6174049
PDXK,218019_s_at,6,0.47565192
PDPK1,224986_s_at,6,0.5809936
RGS5,1558785_a_at,6,0.2453088
TBRG1,226318_at,6,0.63537747
ADD2,206807_s_at,6,0.29795516
AGFG2,222126_at,6,0.2997399
PAK2,208877_at,6,0.59962237
