gene,representative_probe,n_probes_for_gene,mean_expression
KIF2B,223926_at,1,0.10928749
KIF11,204444_at,1,0.41874146
KIF12,229258_at,1,0.17869473
KIF13B,202962_at,1,0.4516311
KIF15,219306_at,1,0.3964015
PSMB5,208799_at,1,0.53962404
PSMB6,208827_at,1,0.6880874
PSMB8,209040_s_at,1,0.6566335
PSMB9,204279_at,1,0.6468027
PSMC6,201699_at,1,0.68768173
KIAA2012,1564193_at,1,0.21520415
KIAA2012-AS1,1556536_at,1,0.098114625
KIAA0087,207161_at,1,0.088221475
KIAA0319,206017_at,1,0.08403076
KIAA0408,205496_at,1,0.053279262
KIF17,222144_at,1,0.19051027
KIF18A,221258_s_at,1,0.33053476
KIF18B,222039_at,1,0.4359753
KIF1C-AS1,244577_at,1,0.08894648
KIF20A,218755_at,1,0.36535183
KIAA1586,231869_at,1,0.3615838
KIAA1614,215367_at,1,0.11805129
KIAA1614-AS1,232320_at,1,0.26772916
PSMD14,212296_at,1,0.6237963
PSMD14-DT,237610_at,1,0.15532228
KIAA1191,224502_s_at,1,0.61966026
KIAA1191P2,1570040_at,1,0.13536444
KIAA1210,232332_at,1,0.10137113
KDM7A-DT,232579_at,1,0.29707894
KDR,203934_at,1,0.16670386
KEAP1,202417_at,1,0.42110664
KEL,206077_at,1,0.2708476
KERA,220504_at,1,0.09818515
PSME2,201762_s_at,1,0.7315706
PSMG1,203405_at,1,0.6072537
PSMG2,218467_at,1,0.75815415
PSMG3,223363_at,1,0.56240207
PSMG3-AS1,1561666_a_at,1,0.25837013
PSMC3,201267_s_at,1,0.5385529
PSMC4,201252_at,1,0.60057193
PSMC5,209503_s_at,1,0.6905225
PSPHP1,205048_s_at,1,0.34210685
KDM5D,206700_s_at,1,0.4202867
KCTD19,244538_at,1,0.10524706
KCTD21,229873_at,1,0.19693102
KCTD3,217894_at,1,0.38490495
KHDC3L,231474_at,1,0.114265814
KHDRBS2,215527_at,1,0.20396584
KDM2B,226215_s_at,1,0.62066406
PSRC1,201896_s_at,1,0.3233335
PSTPIP1,211178_s_at,1,0.4704935
PSTPIP2,219938_s_at,1,0.5085406
PSMD7,201705_at,1,0.63463044
PSMD7-DT,237381_at,1,0.06592742
PSMD8,200820_at,1,0.65694106
PSME1,200814_at,1,0.7826735
KIAA0753,204711_at,1,0.35871458
KCNN2,220116_at,1,0.089942954
KCNN4,204401_at,1,0.49614006
KCNQ1-AS1,1562960_at,1,0.23356536
KCTD9,218823_s_at,1,0.49104512
KDF1,236058_at,1,0.09898745
KDM1A,212348_s_at,1,0.5640467
KCNS3,205968_at,1,0.17036593
KCNU1,237273_at,1,0.11131981
KCNV2,217522_at,1,0.15379103
PTCHD4,234689_at,1,0.16874054
PTCSC1,233111_at,1,0.35406455
PTDSS1,201433_s_at,1,0.71055555
PTDSS2,221005_s_at,1,0.37893975
PSORS1C1,220362_at,1,0.10683775
PSORS1C2,220635_at,1,0.07918341
PSORS1C3,238997_at,1,0.10328576
KCNJ14,220776_at,1,0.23536606
KCNJ2,206765_at,1,0.24331532
KCNJ2-AS1,1558234_at,1,0.10740862
KCNQ1DN,220629_at,1,0.15771568
KCNRG,239098_at,1,0.24806775
KCNS1,207366_at,1,0.2833053
KCNK16,234554_at,1,0.11562129
KCNK17,224049_at,1,0.44573116
KCNK2,210261_at,1,0.08754953
KCNK5,219615_s_at,1,0.3152355
PTGES2,218083_at,1,0.31015
PTGES3,200627_at,1,0.8109008
PTGES3L,238740_at,1,0.1587127
PTCH2,221292_at,1,0.09043584
KCTD11,235857_at,1,0.19685961
KCNN1,206231_at,1,0.249203
KCNE2,221095_s_at,1,0.09199969
KCNJ5-AS1,1553787_at,1,0.1912168
KCNK12,220448_at,1,0.31126755
KCNK13,221325_at,1,0.09991411
KCNH4,220802_at,1,0.1358585
KCNH7-AS1,237608_at,1,0.09541459
KCNH8,1552742_at,1,0.19729564
KCNIP1,221307_at,1,0.16899286
PTH2R,206772_at,1,0.24079372
PTMAP11,239321_at,1,0.0746711
PTGER2,206631_at,1,0.47822678
PTGER4P2-CDK2AP2P2,217158_at,1,0.06162813
KCNK6,223658_at,1,0.29549596
KCNMA1-AS1,1569763_at,1,0.17583263
KCNMB2-AS1,233205_at,1,0.16706483
KCNMB3,221125_s_at,1,0.28487387
KCNG4,1552598_at,1,0.12339151
KCNH1,207635_s_at,1,0.121106364
KCNH3,223726_at,1,0.17260964
KCNA10,208560_at,1,0.07442892
KCNA3,207237_at,1,0.3241892
KCNA4,207248_at,1,0.11344705
KCNA5,206762_at,1,0.20471708
KCNA7,232936_at,1,0.03382637
PTGR2,230774_at,1,0.17425913
PTH,206977_at,1,0.07668596
PTH1R,205911_at,1,0.31550536
PTH2,1555238_at,1,0.36846837
KCNIP2-AS1,237266_at,1,0.26830554
KCNJ11,231740_at,1,0.11707046
KCND1,206842_at,1,0.17624314
KCND2,207103_at,1,0.13204415
JSRP1,235863_at,1,0.11833576
JUNB,201473_at,1,0.70756716
KBTBD12,244771_at,1,0.15165804
KBTBD3,228777_at,1,0.3520784
KBTBD8,239835_at,1,0.4722049
KANSL1L-AS1,1558595_at,1,0.16748725
KANSL2,221821_s_at,1,0.6500284
KASH5,240950_s_at,1,0.24604446
PTPN6,206687_s_at,1,0.71503687
PTPRCAP,204960_at,1,0.6070362
KCNAB3,221413_at,1,0.23651116
KATNIP,213185_at,1,0.45619383
KBTBD11,204301_at,1,0.42094022
KCNE5,220010_at,1,0.23783237
KCNF1,210263_at,1,0.22484954
KCNG2,208550_x_at,1,0.06385047
PTTG2,214557_at,1,0.20426446
PTTG3P,208511_at,1,0.36725885
PTX3,206157_at,1,0.4434861
PUDP,203974_at,1,0.3670089
PUF60,209899_s_at,1,0.6715919
PTPRD-AS1,1560425_s_at,1,0.0830962
PTPRG-AS1,232242_at,1,0.08640735
PTPRH,208300_at,1,0.17146789
PTPRK-AS1,1568898_at,1,0.06884524
PTPRN,204945_at,1,0.198864
PTPRN2-AS1,1570375_at,1,0.256359
PTPN20,215172_at,1,0.114171535
KAT2A,202182_at,1,0.5043227
KAT2B,203845_at,1,0.55817616
KAT7,200049_at,1,0.55364865
KATNA1,205526_s_at,1,0.49110615
PTPRT,205948_at,1,0.13031477
PTPRT-AS1,1556921_at,1,0.07125501
PTPRU,211320_s_at,1,0.22002265
PTPRZ1,204469_at,1,0.13191517
PTRH2,218732_at,1,0.47033772
PTRHD1,226243_at,1,0.64944714
JUP,201015_s_at,1,0.44300807
KAAG1,224157_at,1,0.114423275
KANK3,213715_s_at,1,0.13641596
KANK4,229125_at,1,0.08977481
JMJD1C-AS1,1552665_at,1,0.2913732
JMJD7,222256_s_at,1,0.33663318
JMJD8,224886_at,1,0.4787239
PTS,209694_at,1,0.54706866
PTTG1,203554_x_at,1,0.648981
PTTG1IP,200677_at,1,0.72360206
JCHAIN,212592_at,1,0.54448396
IVL,214599_at,1,0.13822284
IYD,231070_at,1,0.07458486
IZUMO1,1554196_at,1,0.114238195
IZUMO2,240559_at,1,0.13607696
JOSD1,201751_at,1,0.64862686
JOSD2,227096_at,1,0.35115317
JAKMIP1,238600_at,1,0.16944553
JAKMIP2-AS1,1561101_at,1,0.056961786
JAKMIP3,233076_at,1,0.10739718
JAML,228094_at,1,0.4048716
PUS3,221277_s_at,1,0.40819675
PUS7,218984_at,1,0.36957523
PUSL1,228733_at,1,0.36085725
PVALB,205336_at,1,0.13384241
PVRIG,219812_at,1,0.49270442
PYGM,205577_at,1,0.2391233
PYGO2,225370_at,1,0.3608416
PWAR5,214834_at,1,0.13619076
JADE3,204866_at,1,0.41399372
JAGN1,223104_at,1,0.5490754
ITPKB-IT1,240398_at,1,0.13365552
ITPKC,213076_at,1,0.35401142
ITPR1-DT,239764_at,1,0.15793832
ITPR2-AS1,239887_at,1,0.06506382
PWWP3B,229160_at,1,0.09777048
PXDNL,241942_at,1,0.108840466
PXMP2,219076_s_at,1,0.4717244
PURPL,1557765_at,1,0.08132852
PUS1,218670_at,1,0.45818746
JARID2-AS1,240828_at,1,0.21222197
JAZF1-AS1,1559650_at,1,0.06864506
ITLN1,223597_at,1,0.25454637
ITM2C,221004_s_at,1,0.5238285
ITPA,209171_at,1,0.5769106
ITPKA,205874_at,1,0.10383373
ITGB1-DT,244864_at,1,0.20434488
ITGB1BP2,219829_at,1,0.2244609
ITPR3-AS1,232827_at,1,0.18449567
ITPRIPL1,240037_at,1,0.29717612
ITIH1,210888_s_at,1,0.14703754
ITIH2,204987_at,1,0.17603764
ITIH3,205755_at,1,0.17434634
ITIH6,234894_at,1,0.06084616
ITK,211339_s_at,1,0.44290718
PYCR3,218944_at,1,0.1614994
PYDC1,243722_at,1,0.13551998
PYGL,202990_at,1,0.5241115
QARS1,217846_at,1,0.7732443
ITGB3BP,205176_s_at,1,0.56421953
ITGB7,205718_at,1,0.46853325
ITGB8-AS1,230446_at,1,0.19342978
ITGA3,201474_s_at,1,0.17671861
ITGA5,201389_at,1,0.5117206
ITGA6-AS1,229643_at,1,0.15863259
QKILA,1560848_at,1,0.078944355
QPCT,205174_s_at,1,0.41202268
QPCTL,220438_at,1,0.111597985
QRFPR,1555533_at,1,0.06308617
PXN-AS1,227332_at,1,0.29140708
PXT1,1552599_at,1,0.15265475
PYCARD,221666_s_at,1,0.6216389
PYCARD-AS1,244497_at,1,0.3753255
PYCR1,202148_s_at,1,0.40311915
IRX3,229638_at,1,0.24616343
IRX4,220225_at,1,0.08205147
IRX5,210239_at,1,0.2104626
ITGA9-AS1,1563635_at,1,0.11368618
ITGAD,1560686_at,1,0.19490445
ITGAE,205055_at,1,0.7113709
ITGAV,202351_at,1,0.35030246
ISLR2,232208_at,1,0.13024332
ISM1-AS1,240719_at,1,0.0776696
ISM2,228212_at,1,0.24791275
ISOC1,218170_at,1,0.50093967
ISOC2,218893_at,1,0.41539714
R3HDM2,203831_at,1,0.62307763
R3HDML,234774_at,1,0.1212903
PYY2,220209_at,1,0.104471065
PZP,207330_at,1,0.18040377
ISL1,206104_at,1,0.1057908
ISL2,232352_at,1,0.123530276
ISLR,207191_s_at,1,0.13367034
IRF2,203275_at,1,0.51289684
IRF2BP1,213771_at,1,0.32235518
IRF2BPL,223474_at,1,0.65229803
IRF3,202621_at,1,0.5653664
RAB13,202252_at,1,0.6095728
RAB17,218931_at,1,0.14446609
RAB17-DT,1557774_at,1,0.08801094
RAB1B,220964_s_at,1,0.621118
QRICH2,232532_at,1,0.24472794
QTRT1,221270_s_at,1,0.42232746
ISX,232707_at,1,0.15401082
ITGA10,206766_at,1,0.28253475
IRX1,230472_at,1,0.25101936
IRAK4,219618_at,1,0.4293753
IQCF2,236767_at,1,0.1446366
IQCF4P,236870_at,1,0.0671435
IQCF5,231525_at,1,0.1034848
IQCF5-AS1,1564300_at,1,0.097566515
IRF7,208436_s_at,1,0.6369153
IRF8,204057_at,1,0.67052966
IRF9,203882_at,1,0.60139585
IRGC,214392_at,1,0.15365584
IRGM,1563335_at,1,0.17899625
IQUB,1568924_a_at,1,0.09499022
RAB2B,225074_at,1,0.5786829
RAB11FIP5,210879_s_at,1,0.32983884
ISCA2,226007_at,1,0.56077504
ISCU,209075_s_at,1,0.7799476
ISG15,205483_s_at,1,0.5984764
IQCC,206650_at,1,0.22230883
IQCD,1552540_s_at,1,0.14624204
INTS4P1,1563887_at,1,0.067206375
INTS6L,227485_at,1,0.49046558
IQCF6,236661_at,1,0.04658407
IQCH-AS1,238485_at,1,0.29431027
IQCJ-SCHIP1-AS1,244152_at,1,0.14664695
IQCM,1569781_at,1,0.1020155
IPO13,203546_at,1,0.41004366
IPO4,218305_at,1,0.43755752
RAB39A,1554800_at,1,0.25206682
RAB3A,204974_at,1,0.2479269
RAB3IL1,219579_at,1,0.37631246
RAB24,225251_at,1,0.5555928
RAB25,218186_at,1,0.1801243
IRAG1-AS1,231595_at,1,0.24535468
INTU,228946_at,1,0.1288501
IP6K1,212439_at,1,0.42825502
IP6K3,231179_at,1,0.13787068
IPCEF1,214735_at,1,0.3904968
INSL6,221403_s_at,1,0.07813011
INSM1,206502_s_at,1,0.09872162
INSM2,240841_at,1,0.14411789
INSRR,215776_at,1,0.11789431
INSYN2A,244435_at,1,0.04862187
RAB5B,201276_at,1,0.49611694
RAB6C,210406_s_at,1,0.6780744
RAB33A,206039_at,1,0.33776537
RAB33B,221014_s_at,1,0.46937245
RAB36,211471_s_at,1,0.17620885
RAB37,228113_at,1,0.5447082
RAB38,219412_at,1,0.2010119
RAB8A,208819_at,1,0.69547325
RAB9A,221808_at,1,0.59608597
RAB9B,222918_at,1,0.21892828
RAB9BP1,208245_at,1,0.08428539
INSYN2B,235236_at,1,0.11647701
INTS12,218616_at,1,0.53999865
INTS13,221652_s_at,1,0.55302906
INTS2,224308_s_at,1,0.382804
INPP5E,204706_at,1,0.508888
INPP5J,213651_at,1,0.15863039
RABAC1,203136_at,1,0.6313535
RABGGTA,203573_s_at,1,0.44408858
RAB40A,217589_at,1,0.13362832
RAB40AL,215782_at,1,0.15340394
RAB42,1552846_s_at,1,0.24790157
INTS8,218905_at,1,0.5681054
INCENP,219769_at,1,0.22861305
INE1,207252_at,1,0.2086697
INPPL1,201598_s_at,1,0.5046652
INS,206598_at,1,0.052526806
INSC,237056_at,1,0.10900553
INSIG1-DT,229370_at,1,0.32157248
INSIG2,209566_at,1,0.36303002
INSL4,206549_at,1,0.13058986
INSL5,221091_at,1,0.114999324
INHBB,205258_at,1,0.14611839
INHBE,210587_at,1,0.07386204
INKA1,229507_at,1,0.36274093
INKA2-AS1,236036_at,1,0.25102034
RAC3,206103_at,1,0.10945377
RACGAP1,222077_s_at,1,0.5727614
RACGAP1P1,224272_at,1,0.10161506
RAD21-AS1,1560207_at,1,0.14510278
ING2-DT,1560841_at,1,0.18299267
INGX,224245_at,1,0.13491033
INHA,210141_s_at,1,0.23828422
ILRUN-AS1,229444_at,1,0.46301168
IMMT,200955_at,1,0.61421514
IMP3,221688_s_at,1,0.5934388
RAD51AP1,204146_at,1,0.51349145
RAD54L,204558_at,1,0.3442715
RABL2A,220500_s_at,1,0.40829483
RABL2B,219151_s_at,1,0.50356835
INMT,224061_at,1,0.13933901
INO80E,227286_at,1,0.5320662
INPP1,202794_at,1,0.43715712
INAFM1,227325_at,1,0.5483947
INAVA,219010_at,1,0.23129576
RAMP3,205326_at,1,0.22906092
RADIL,223693_s_at,1,0.22203717
RAET1E,1552777_a_at,1,0.09281925
IMP4,212411_at,1,0.6109216
IMPA1,203011_at,1,0.6369006
IMPA2,203126_at,1,0.4919397
IMPDH1,204169_at,1,0.5422597
IMPDH2,201892_s_at,1,0.7365208
IMPG1,207054_at,1,0.048184033
INA,204465_s_at,1,0.15516503
IL6-AS1,243977_at,1,0.17700739
IL6R-AS1,1562747_at,1,0.08269899
IL6ST-DT,1557466_at,1,0.2196151
RAG2,215117_at,1,0.23453054
RAI14,202052_s_at,1,0.14758733
RAI2,219440_at,1,0.10607247
RAP1GAP2,213280_at,1,0.54169494
RALY,201271_s_at,1,0.6130774
RALY-AS1,230294_at,1,0.27374467
IL9,208193_at,1,0.07907833
ILF2,200052_s_at,1,0.6887655
ILF3-DT,235014_at,1,0.3953472
ILK,201234_at,1,0.54108477
ILKAP,221548_s_at,1,0.5735521
IL32,203828_s_at,1,0.2885735
IL33,209821_at,1,0.08752263
IL34,237046_x_at,1,0.20700441
IL36A,221404_at,1,0.21788457
IL36G,220322_at,1,0.14610474
RALYL,213967_at,1,0.09111177
RAMP1,204916_at,1,0.34318566
RAMP2,205779_at,1,0.13682652
IL26,221111_at,1,0.0666031
IL27,1552995_at,1,0.1528054
IL2RB,205291_at,1,0.4547817
IL2RG,204116_at,1,0.6562231
IL3,207906_at,1,0.048389122
IL1F10,224262_at,1,0.15528323
IL36RN,222223_s_at,1,0.1566956
IL3RA,206148_at,1,0.31302455
IL4I1,230966_at,1,0.14811067
IL4R,203233_at,1,0.57897025
IL5,207952_at,1,0.088511445
IL6,205207_at,1,0.27485684
IL21R-AS1,1559443_s_at,1,0.19967617
IL22RA1,220056_at,1,0.2374295
IL22RA2,237493_at,1,0.11633079
RAP1B,200833_s_at,1,0.8048602
IL2,207849_at,1,0.07755172
IL20,224071_at,1,0.13453643
IL20RB,228575_at,1,0.20123653
IL21,221271_at,1,0.14227797
IL17B,220273_at,1,0.087845415
IL17C,224079_at,1,0.2955989
IL17D,227401_at,1,0.21959925
IL17F,234408_at,1,0.13490596
RAPGEFL1,218657_at,1,0.08084636
RAPSN,211570_s_at,1,0.14927197
RARA-AS1,228037_at,1,0.37789428
RARB-AS1,231673_at,1,0.17582539
RANBP3L,1553147_at,1,0.069331326
RANBP6,213019_at,1,0.61139005
IL24,206569_at,1,0.23534527
IL25,220971_at,1,0.16115674
IL18,206295_at,1,0.36600652
IL18R1,206618_at,1,0.24639991
IL18RAP,207072_at,1,0.4183106
IL19,220745_at,1,0.13490488
IL10,207433_at,1,0.16452882
IL10RA,204912_at,1,0.60065156
IL10RB,209575_at,1,0.51865745
IL12A,207160_at,1,0.25973493
RASAL3,228677_s_at,1,0.55385435
RASD1,223467_at,1,0.45861578
RASD2,223634_at,1,0.18009326
RAP2C-AS1,240561_at,1,0.22990507
RAPGEF4,205651_x_at,1,0.11192135
RAPGEF4-AS1,1563528_at,1,0.103102736
IL1RAPL2,221112_at,1,0.20626149
IL1RL2,208038_at,1,0.086603165
IL12A-AS1,1560725_at,1,0.114782564
IL12B,207901_at,1,0.12940852
IL12RB2,206999_at,1,0.18656506
IL13,207844_at,1,0.2571895
IL13RA2,206172_at,1,0.08176482
IL15RA,207375_s_at,1,0.38150325
IGSF8,225025_at,1,0.32897663
IGSF9,229276_at,1,0.096891984
IK,200066_at,1,0.67927694
RASL11A,238353_at,1,0.26493153
RASL12,219167_at,1,0.15277342
RASSF1,204346_s_at,1,0.58199286
RASSF1-AS1,240278_at,1,0.25830603
RASSF10,238755_at,1,0.18518244
RARRES2,209496_at,1,0.15844038
RARS1,201330_at,1,0.50977045
IGKV2D-28,214768_x_at,1,0.4090371
IGKV4-1,214777_at,1,0.2896028
IGLC2,215379_x_at,1,0.7120809
IGLL1,206660_at,1,0.49924254
IKBKB-DT,231378_at,1,0.20579739
IGLV3-25,215214_at,1,0.41813773
IGLV4-3,234381_at,1,0.305858
IGLV4-60,215777_at,1,0.21960814
IGLV6-57,215035_at,1,0.09007033
IGLV9-49,233969_at,1,0.037611596
IGLVI-70,234416_at,1,0.05519579
RAVER1,223425_at,1,0.4604881
RAX,208242_at,1,0.09283337
RAX2,1552311_a_at,1,0.3048282
RASGEF1C,236748_at,1,0.12763646
RASGRP1,205590_at,1,0.49905804
IGHV7-81,1555179_at,1,0.10876892
RBM12B-AS1,220222_at,1,0.11123406
RBM20,238763_at,1,0.13853912
RBAKDN,230439_at,1,0.19923878
RBBP5,205169_at,1,0.3080679
RBBP7,201092_at,1,0.73163277
RBBP8,203344_s_at,1,0.57374096
RBBP8NL,236258_at,1,0.10387438
RASSF2,203185_at,1,0.6218592
IGSF10,230670_at,1,0.25311512
IGSF11,228375_at,1,0.08522237
IGSF11-AS1,237253_at,1,0.054724928
IGSF21,227154_at,1,0.18269233
IGSF22,1553857_at,1,0.28629714
IGSF5,243027_at,1,0.12951434
IGKV1OR2-108,217378_x_at,1,0.36776766
IGFL2,231148_at,1,0.08079469
IGFLR1,219690_at,1,0.5329092
RBM33-DT,243224_at,1,0.33405775
RBM38,212430_at,1,0.621135
RBM42,205740_s_at,1,0.5393045
RBM11,232549_at,1,0.21960616
IGLL3P,215946_x_at,1,0.67550373
IGLON5,244694_at,1,0.12081274
IGLV1-50,216573_at,1,0.1621268
IGLV2-14,217148_x_at,1,0.44903913
IGLV2-5,234851_at,1,0.22625245
IGLV3-1,234884_x_at,1,0.25210574
IGLV3-10,216560_x_at,1,0.20254913
IGHV3-47,217239_x_at,1,0.32102844
IGHV3-73,211642_at,1,0.058727827
IGHV5-78,210450_at,1,0.18564035
IGFBP4,201508_at,1,0.30243692
IFT46,218483_s_at,1,0.34999424
IFT70A,213679_at,1,0.17130475
IGHG3,211430_s_at,1,0.72916436
IGF2-AS,220561_at,1,0.11478961
IGKV1-17,211645_x_at,1,0.42728156
IGKV1-5,211835_at,1,0.059882432
IGKV1D-13,216207_x_at,1,0.5135427
IGKV1D-37,216401_x_at,1,0.36919954
IGKV1D-39,215176_x_at,1,0.49442175
IGKV1D-8,216517_at,1,0.19881572
IGKV1OR1-1,217480_x_at,1,0.4652968
IGFBP6,203851_at,1,0.28387132
IGFBP7-AS1,1557395_at,1,0.100156486
IGFBPL1,227760_at,1,0.09763826
IGFL1,239430_at,1,0.12037045
RBM4B,209497_s_at,1,0.36786467
IFT88,204703_at,1,0.44221437
IFTAP,228249_at,1,0.39917836
IGBP1,202105_at,1,0.6594527
IGDCC4,227870_at,1,0.100771025
IFNGR2,201642_at,1,0.6252221
IFNK,224093_at,1,0.07779152
IFNL1,1552917_at,1,0.20861988
IFNL2,1552915_at,1,0.12606105
IFNL3,1552609_s_at,1,0.16777828
RBMS3-AS3,237329_at,1,0.09738828
RBM23,219816_s_at,1,0.5973185
RBM24,235004_at,1,0.14772159
IGFALS,215712_s_at,1,0.30062333
IGFBP-AS1,217439_at,1,0.1321041
IGFBP2,202718_at,1,0.34131637
IFRD2,209100_at,1,0.5121174
IFT172,226324_s_at,1,0.33299658
IFT20,210312_s_at,1,0.62966627
IFNA13,208344_x_at,1,0.1797333
IFNA14,208182_x_at,1,0.18103191
IFNA16,208448_x_at,1,0.21939875
IFNA17,211405_x_at,1,0.32766777
IFNA2,211338_at,1,0.10747567
IFNA21,211145_x_at,1,0.162491
IFNA4,207964_x_at,1,0.18276317
RBP2,231734_at,1,0.19557738
RBP3,210318_at,1,0.22082292
RBP7,238066_at,1,0.30736673
RBPJL,221377_s_at,1,0.1515926
RBPMS-AS1,240929_at,1,0.26073515
RBM45,228578_at,1,0.45883113
IFNA6,208548_at,1,0.1398526
IFNA7,208259_x_at,1,0.21741852
IFNA8,207932_at,1,0.07536823
IFNB1,208173_at,1,0.09785682
IFNE,1553574_at,1,0.15690762
IFNG,210354_at,1,0.27760378
IFI30,201422_at,1,0.6631654
IFI35,209417_s_at,1,0.42757964
IFI44L,204439_at,1,0.35141322
IFI6,204415_at,1,0.5506455
IFIT1,203153_at,1,0.30621105
RCC2,224578_at,1,0.7051892
RBMXL1,227748_at,1,0.44170797
RBMY1A1,208307_at,1,0.07048713
RBMY2BP,207916_at,1,0.16850965
IFNW1,207817_at,1,0.12700981
IFITM3,212203_x_at,1,0.75384796
IFNA1,208375_at,1,0.08330511
IFNA10,208261_x_at,1,0.25410667
IDO1,210029_at,1,0.1479071
IDO2,1568638_a_at,1,0.1681429
IER2,202081_at,1,0.7938867
IER3,201631_s_at,1,0.5668304
RCVRN,206203_at,1,0.18755351
RD3,236563_at,1,0.09432744
RDH12,242998_at,1,0.12047475
RDH14,222203_s_at,1,0.53430927
RDH16,206753_at,1,0.18201925
RBPMS2,228802_at,1,0.1741493
RBX1,218117_at,1,0.6868285
RCAN2,203498_at,1,0.19273901
IFNA5,214569_at,1,0.10717046
IDH1-AS1,236400_at,1,0.18581122
IDI2,1552491_at,1,0.11774025
IDI2-AS1,220703_at,1,0.24879178
ICA1-AS1,230641_at,1,0.15977363
IFFO2,225615_at,1,0.37155184
IFI27,202411_at,1,0.2626015
IFI27L1,230172_at,1,0.43863797
IFI27L2,223626_x_at,1,0.4998876
ID1,208937_s_at,1,0.36374244
ID2B,210911_at,1,0.16403997
ID3,207826_s_at,1,0.44347507
REEP2,205331_s_at,1,0.13118036
REEP4,218777_at,1,0.49859154
RCN1,201063_at,1,0.4939281
RCOR2,236030_at,1,0.22794709
IFITM2,201315_x_at,1,0.7825263
ICAM5,206906_at,1,0.23776612
ICE1,209654_at,1,0.57363385
ICMT-DT,1553741_at,1,0.05488752
ICOS,210439_at,1,0.25237697
HYDIN2,1563529_at,1,0.17989914
HYKK,236150_at,1,0.1843826
HYLS1,227687_at,1,0.36352086
RELB,205205_at,1,0.4309291
RELL2,1564031_a_at,1,0.3655721
RELN,205923_at,1,0.19972134
RELT,227060_at,1,0.48270756
RDH8,220683_at,1,0.17049906
RDM1,239169_at,1,0.17961824
RDM1P5,1564050_at,1,0.050825108
RDUR,1562048_at,1,0.12362236
REC114,240689_at,1,0.23696986
HYOU1,200825_s_at,1,0.5530068
IAPP,207062_at,1,0.1257468
IARS1,204744_s_at,1,0.6799899
IARS2,217900_at,1,0.6130878
IBA57-DT,238188_at,1,0.16846274
HTRA1,201185_at,1,0.16502002
HTRA4,1553706_at,1,0.2698307
RERGL,220276_at,1,0.059039887
RETN,220570_at,1,0.46124
REEP6,226597_at,1,0.24067304
REG1A,209752_at,1,0.13132228
REG1B,205886_at,1,0.12252729
REG1CP,207778_at,1,0.07498179
REG3G,231661_at,1,0.12879547
ICAM3,204949_at,1,0.7262228
ICAM4,207194_s_at,1,0.34300777
HTR1E,207404_s_at,1,0.18526523
HTR1F,221458_at,1,0.17658454
RFNG,212968_at,1,0.48816735
RFPL1,207934_at,1,0.080536775
RFPL1S,214120_at,1,0.1074909
RFPL2,207227_x_at,1,0.28783956
RFPL3,207936_x_at,1,0.30040824
RETREG1-AS1,1560246_at,1,0.16739985
RETREG3,212697_at,1,0.57661825
REXO1L1P,1553009_s_at,1,0.060139365
REXO4,218767_at,1,0.45777303
REM1,210300_at,1,0.30191112
REM2,235699_at,1,0.35946748
REN,206367_at,1,0.1143675
RENBP,206617_s_at,1,0.28884715
HYMAI,215513_at,1,0.23516479
HTR3C,1553041_at,1,0.03307837
HTR5A,221362_at,1,0.09732512
HSPB9,230510_at,1,0.11244634
HSPBAP1,219284_at,1,0.4775808
HSPBP1,202415_s_at,1,0.40191987
HSPC102,233217_at,1,0.39482355
HVCN1,226879_at,1,0.54000145
HYAL1,210619_s_at,1,0.06290039
HYAL2,206855_s_at,1,0.3998002
HYAL3,211728_s_at,1,0.287627
HYAL4,220249_at,1,0.1058131
HYAL6P,1564777_at,1,0.090225495
HTN3,206786_at,1,0.08029427
HTR1A,221351_at,1,0.19347286
HTR1B,210799_at,1,0.18967481
HTR1D,207368_at,1,0.092428185
HSF5,230718_at,1,0.238234
HSPC324,232227_at,1,0.27221838
HSPE1,205133_s_at,1,0.693276
HTATSF1P2,1558882_at,1,0.1837017
HTN1,206639_x_at,1,0.12505695
HSPA2,211538_s_at,1,0.22977574
HSPA2-AS1,244270_at,1,0.14749286
RFX6,1552673_at,1,0.0973828
RFXANK,202758_s_at,1,0.55746835
RGL1,209568_s_at,1,0.36473498
RGL2,209110_s_at,1,0.5829447
RGL4,235816_s_at,1,0.4102368
RFC4,204023_at,1,0.597698
RFLNA,227320_at,1,0.18003653
HTR2B,206638_at,1,0.10463672
HTR3B,221084_at,1,0.14170581
RGPD4-AS1,1558623_at,1,0.073283166
HSFX1,220314_at,1,0.1791643
HSFX4,231589_at,1,0.14227827
HSH2D,1552623_at,1,0.45985177
HSD11B2,204130_at,1,0.078384854
HSD17B10,202282_at,1,0.6132621
HSD17B11,217989_at,1,0.72048396
HSD17B2,204818_at,1,0.06628659
RFWD3,218564_at,1,0.45344728
RFX5-AS1,230787_at,1,0.4660035
HSPB1,201841_s_at,1,0.57355285
HSPB2,205824_at,1,0.08237683
HSPB3,206375_s_at,1,0.080499575
HSDL1,223248_at,1,0.355857
HSF2BP,207020_at,1,0.14599352
HSF4,210977_s_at,1,0.18279335
HS3ST6,239547_at,1,0.1643642
RHBG,220510_at,1,0.07940773
RHCG,219554_at,1,0.123294584
RGS17,220334_at,1,0.15356675
RGS18,223809_at,1,0.4418672
RGS19,204336_s_at,1,0.6828838
RGS2,202388_at,1,0.74429107
RGS22,223691_at,1,0.2055377
